City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,vila franca do campo,37.7167,-25.4333,64.89,99,31,7.72,PT,1730682833
140,sumbawa besar,-8.5,117.4333,91.87,46,49,4.61,ID,1730682834
141,pali,25.7667,73.3333,74.44,39,0,2.95,IN,1730682835
142,nouadhibou,20.931,-17.0347,66.18,88,10,10.36,MR,1730682836
143,borogontsy,62.6683,131.1683,-3.39,94,97,1.7,RU,1730682837
144,puerto baquerizo moreno,-0.9,-89.6,68.29,74,73,13.24,EC,1730682839
145,mentougou,39.9392,116.0917,44.8,25,0,7.81,CN,1730682840
146,siwa oasis,29.2041,25.5195,65.52,72,0,7.16,EG,1730682841
147,tannum sands,-23.9504,151.3693,84.74,61,20,10.36,AU,1730682843
148,ketchikan,55.3422,-131.6461,44.58,86,100,6.53,US,1730682844
149,vorkuta,67.5,64.0,23.83,90,100,14.36,RU,1730682845
150,tyazhinskiy,56.116,88.524,43.11,85,100,10.83,RU,1730682846
151,wailua homesteads,22.0669,-159.378,81.39,79,20,12.66,US,1730682794
152,nar'yan-mar,67.6713,53.087,28.85,81,100,14.65,RU,1730682849
153,san mariano,7.5,126.0,82.09,76,100,3.38,PH,1730682850
154,kapa'a,22.0752,-159.319,82.72,77,20,12.66,US,1730682852
155,mount gambier,-37.8333,140.7667,64.18,44,3,10.0,AU,1730682853
156,aktau,43.65,51.2,41.58,61,100,14.05,KZ,1730682854
157,mandan,46.8267,-100.8896,49.98,99,100,9.22,US,1730682856
158,feuchtwangen,49.1667,10.3333,35.58,95,7,1.01,DE,1730682857
159,qaqortoq,60.7167,-46.0333,29.44,73,2,24.96,GL,1730682858
160,charcas,23.1333,-101.1167,67.46,29,31,11.52,MX,1730682860
161,mount isa,-20.7333,139.5,96.57,30,100,13.8,AU,1730682861
162,abatskoye,56.2875,70.4555,30.78,61,100,14.03,RU,1730682862
163,satsuma,30.8532,-88.0561,75.22,78,0,8.28,US,1730682864
164,padrauna,26.9025,83.9819,72.86,62,0,3.09,IN,1730682865
165,codrington,-38.2667,141.9667,61.23,57,99,11.43,AU,1730682866
166,ishigaki,24.3448,124.1572,79.21,71,89,19.55,JP,1730682868
